subjID	trial	cue	keyPressed	outcome	rt
1	183	2	0	0	0.7662361
1	184	1	1	-1	0.7772387
1	185	3	1	-1	0.8885725
1	186	4	0	-1	0.755141
1	187	3	1	0	0.7552665
1	188	3	1	-1	0.7664611
1	189	4	0	0	0.8326733
1	190	1	1	0	0.8554225
1	191	2	0	0	0.7660286
1	192	2	0	0	0.8996617
1	193	4	0	0	0.9655264
1	194	4	0	0	0.7330975
1	195	3	1	0	0.9550582
1	196	1	1	0	0.9995145
1	197	3	1	0	0.8219563
1	198	1	1	-1	0.8993486
1	199	4	0	-1	0.7552444
1	200	3	1	0	0.8331262
1	201	3	1	0	0.7441811
1	202	1	1	0	0.9222811
1	203	4	0	-1	0.6886492
1	204	2	0	0	0.8109502
1	205	3	1	0	0.8219361
1	206	4	0	0	0.9105452
1	207	2	0	0	0.7107978
1	208	4	0	0	0.5441973
1	209	3	1	0	0.7664744
1	210	2	0	0	0.7108279
1	211	2	0	-1	0.6883867
1	212	2	0	-1	0.6553094
1	213	1	1	0	0.7330533
1	214	4	0	0	0.7552522
1	215	4	0	0	0.6884858
1	216	3	1	0	0.9107491
1	217	3	1	0	0.7441424
1	218	4	0	0	0.6774149
1	219	1	1	0	0.733052
1	220	3	0	-1	1.066712
1	221	2	0	0	0.6433686
1	222	1	1	0	0.8769507
1	223	1	1	0	0.7107518
1	224	1	1	0	0.6551502
1	225	4	0	0	0.8550477
1	226	4	0	0	0.8550743
1	227	2	0	-1	0.7219914
1	228	1	1	0	0.8216515
1	229	3	1	0	0.9329035
1	230	1	1	-1	0.8994192
1	231	1	1	0	0.6887201
1	232	1	1	0	0.5774541
1	233	2	0	0	0.6884206
1	234	3	1	-1	0.8109555
1	235	4	0	0	0.7551603
1	236	2	0	0	0.6776406
1	237	1	1	0	0.7996816
1	238	2	0	0	0.6997793
1	239	4	0	0	0.7550693
1	240	2	0	0	0.7664902
2	1	3	1	0	2.510076
2	2	4	0	-1	2.498586
2	3	4	0	0	1.177147
2	4	2	0	0	1.299573
2	5	3	1	0	1.709992
2	6	4	0	-1	0.5665215
2	7	4	0	-1	0.9223685
2	8	2	0	0	1.377254
2	9	1	1	0	1.955092
2	10	4	1	-1	1.354706
2	11	3	1	-1	2.065973
2	12	4	0	0	1.254614
2	13	4	0	0	1.055058
2	14	2	0	0	1.421428
2	15	1	0	-1	2.288183
2	16	3	0	-1	1.976889
2	17	2	0	-1	1.177251
2	18	3	0	-1	2.509974
2	19	1	1	0	1.532472
2	20	3	1	-1	1.731756
2	21	2	0	0	1.332522
2	22	4	0	-1	2.376848
2	23	1	1	-1	1.66582
2	24	3	1	0	2.509762
2	25	3	1	-1	1.598053
2	26	3	1	-1	2.121281
2	27	1	1	0	2.51034
2	28	4	0	0	1.988042
2	29	2	0	-1	1.621646
2	30	1	0	-1	1.832513
2	31	4	1	-1	2.509952
2	32	3	0	0	2.509964
2	33	2	0	-1	2.343464
2	34	3	0	0	2.287775
2	35	4	0	0	2.510045
2	36	2	1	-1	2.510005
2	37	2	0	0	1.766102
2	38	1	0	-1	2.287824
2	39	4	0	-1	2.232273
2	40	4	0	-1	1.432801
2	41	1	1	0	2.510258
2	42	3	1	0	2.510094
2	43	3	0	-1	1.055471
2	44	2	1	-1	2.509879
2	45	1	0	-1	1.899175
2	46	2	1	0	1.888431
2	47	3	1	-1	2.176922
2	48	3	0	0	1.243873
2	49	2	0	0	2.509973
2	50	1	0	-1	2.210061
2	51	1	0	-1	2.509988
2	52	4	1	-1	1.255165
2	53	1	1	0	1.632659
2	54	2	1	0	1.277201
2	55	1	1	-1	2.132645
2	56	2	1	-1	2.287611
2	57	4	0	0	1.899352
2	58	1	0	-1	1.277327
2	59	1	1	-1	1.499327
2	60	2	1	-1	2.510002
2	61	4	0	-1	1.998907
2	62	4	1	0	1.543774
2	63	4	1	-1	0.7551152
2	64	3	1	0	2.321076
2	65	3	1	-1	1.532273
2	66	2	1	-1	1.610349
2	67	1	0	0	1.887891
2	68	2	0	0	1.64354
2	69	2	1	-1	2.410085
2	70	4	1	-1	1.999083
2	71	1	1	0	2.509629
2	72	4	0	0	1.310387
2	73	1	1	0	1.777084
2	74	4	0	-1	1.232499
2	75	2	0	0	2.165811
2	76	1	1	0	2.509979
2	77	3	1	0	2.510104
2	78	2	0	0	2.510137
2	79	3	1	0	1.81031
2	80	3	1	0	2.143692
2	81	1	1	0	1.587668
2	82	4	1	0	2.010228
2	83	4	1	0	0.8666484
2	84	2	1	-1	1.499254
2	85	1	1	-1	1.599216
2	86	3	1	-1	2.510105
2	87	2	0	0	1.010679
2	88	1	0	-1	1.876945
2	89	3	1	-1	2.510121
2	90	2	0	0	2.032483
2	91	4	0	-1	2.509875
2	92	2	1	-1	2.510227
2	93	1	0	-1	2.010111
2	94	2	1	-1	2.510133
2	95	1	0	0	2.509592
2	96	1	0	-1	1.388352
2	97	4	1	-1	2.021185
2	98	1	0	-1	2.510187
2	99	3	1	-1	2.509801
2	100	2	1	-1	1.565929
2	101	2	0	0	1.510688
2	102	4	0	-1	2.409994
2	103	4	0	-1	1.543881
2	104	1	1	0	2.187826
2	105	4	1	-1	1.16619
2	106	2	0	0	2.254532
2	107	1	1	-1	1.466109
2	108	3	1	0	2.510292
2	109	4	1	0	1.321801
2	110	3	1	-1	0.9103473
2	111	1	0	-1	1.610386
2	112	3	1	-1	1.399554
2	113	1	0	-1	1.877038
2	114	3	1	-1	2.054894
2	115	4	0	0	2.509879
2	116	3	1	0	1.510589
2	117	3	1	0	1.088135
2	118	3	1	-1	0.6994936
2	119	2	1	-1	1.688289
2	120	2	0	0	1.577379
2	121	3	1	0	2.320905
2	122	4	1	-1	1.466981
2	123	3	1	0	1.255209
2	124	2	1	-1	2.321039
2	125	1	1	-1	1.521777
2	126	3	1	0	1.388426
2	127	3	1	0	1.110579
2	128	3	1	0	0.8109849
2	129	2	0	0	1.354881
2	130	4	0	0	1.443773
2	131	1	0	0	1.154985
2	132	2	0	0	1.143732
2	133	1	0	-1	1.110664
2	134	3	1	-1	1.243903
2	135	2	1	0	1.288122
2	136	3	0	-1	1.310715
2	137	1	1	0	1.521691
2	138	4	1	-1	1.777037
2	139	4	0	-1	1.787894
2	140	1	0	-1	2.398877
2	141	4	0	0	2.509458
2	142	1	0	-1	2.232476
2	143	4	1	-1	1.888153
2	144	3	1	0	1.254959
2	145	3	1	0	0.8407198
2	146	1	1	0	0.9996131
2	147	1	1	0	1.010419
2	148	4	0	-1	2.509897
2	149	2	1	-1	1.744075
2	150	2	0	-1	1.921751
2	151	4	0	0	2.510108
2	152	4	0	0	1.888042
2	153	1	1	0	2.065812
2	154	2	1	-1	1.63276
2	155	1	1	0	1.543619
2	156	3	1	0	1.599371
2	157	4	1	-1	2.509956
2	158	4	1	-1	2.510066
2	159	1	0	-1	1.410298
2	160	1	1	0	0.9551176
2	161	2	1	-1	2.476559
2	162	3	1	-1	1.277241
2	163	2	0	0	1.343796
2	164	4	1	0	2.509873
2	165	1	1	0	1.843524
2	166	3	1	0	0.8883678
2	167	3	1	0	0.9660062
2	168	2	0	0	2.509979
2	169	4	1	-1	2.27702
2	170	2	1	-1	1.388267
2	171	2	0	-1	1.388251
2	172	4	0	-1	1.510378
2	173	3	1	0	1.032567
2	174	3	1	0	1.055304
2	175	4	0	0	2.154818
2	176	2	1	-1	1.466219
2	177	1	1	0	1.277129
2	178	2	1	-1	2.054641
